epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.046,1.30945,2.2414,1.6014,0.59569,0.42393,0.38159,0.24924,1.16593,1.62545,1.57205,0.00047598,0.00047598,0.00047598
2,822.218,1.3408,1.86985,1.62661,0.69188,0.32185,0.3633,0.24314,1.17341,1.45114,1.61831,0.000933457,0.000933457,0.000933457
3,1225.82,1.31638,1.79338,1.61107,0.72412,0.35202,0.39446,0.26546,1.12157,1.29726,1.52679,0.00137207,0.00137207,0.00137207
4,1628.88,1.27013,1.68163,1.57027,0.44698,0.44169,0.47605,0.33284,1.0509,1.19551,1.47645,0.00134412,0.00134412,0.00134412
5,2032.15,1.22311,1.5873,1.53562,0.79193,0.43666,0.527,0.3916,0.93703,1.05884,1.36155,0.00131582,0.00131582,0.00131582
6,2435.05,1.16962,1.50704,1.4961,0.49336,0.55386,0.56432,0.42171,0.89611,0.90536,1.34359,0.00128753,0.00128753,0.00128753
7,2837.84,1.1267,1.4415,1.46383,0.82407,0.48698,0.59702,0.4574,0.88359,0.87496,1.32177,0.00125923,0.00125923,0.00125923
8,3240.65,1.10784,1.39005,1.44571,0.83735,0.48503,0.5947,0.46792,0.82237,0.84418,1.2585,0.00123094,0.00123094,0.00123094
9,3643.34,1.0814,1.33953,1.4247,0.46079,0.68151,0.62012,0.49384,0.76361,0.77168,1.21477,0.00120265,0.00120265,0.00120265
10,4048.48,1.06273,1.30172,1.41037,0.83479,0.56881,0.62036,0.50055,0.74666,0.75465,1.19575,0.00117435,0.00117435,0.00117435
11,4452.31,1.04599,1.27018,1.39955,0.86449,0.52498,0.64995,0.50985,0.74239,0.7518,1.20268,0.00114606,0.00114606,0.00114606
12,4855.29,1.01577,1.22625,1.37297,0.8711,0.57773,0.66905,0.54217,0.72013,0.65327,1.17905,0.00111776,0.00111776,0.00111776
13,5258.09,1.00951,1.21198,1.37639,0.80582,0.6091,0.68848,0.56757,0.66512,0.64876,1.1356,0.00108947,0.00108947,0.00108947
14,5669.38,0.98982,1.18064,1.36246,0.68973,0.58334,0.65387,0.53458,0.69397,0.62164,1.15024,0.00106118,0.00106118,0.00106118
15,6074.11,0.97682,1.16104,1.34426,0.66815,0.71151,0.72989,0.60464,0.66881,0.57116,1.12594,0.00103288,0.00103288,0.00103288
16,6476.55,0.96869,1.12502,1.33984,0.52557,0.74818,0.69427,0.57573,0.65831,0.59484,1.11555,0.00100459,0.00100459,0.00100459
17,6879.6,0.95365,1.10731,1.33178,0.87071,0.59093,0.70397,0.58425,0.65144,0.57236,1.10194,0.000976293,0.000976293,0.000976293
