epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.98,1.2541,2.26428,1.41891,0.83818,0.49525,0.53987,0.3874,0.79171,1.26861,1.13272,0.00036918,0.00036918,0.00036918
2,382.858,1.262,1.77465,1.41982,0.89282,0.49498,0.55755,0.3941,0.9069,1.25602,1.22599,0.000724871,0.000724871,0.000724871
3,555.088,1.27185,1.62566,1.43002,0.80037,0.45417,0.46991,0.30332,1.31877,2.22741,1.48555,0.0010659,0.0010659,0.0010659
4,747.398,1.25675,1.49015,1.41048,0.88925,0.54353,0.57964,0.41554,0.91723,0.93095,1.23591,0.00104501,0.00104501,0.00104501
5,939.181,1.23887,1.43455,1.40546,0.91822,0.52358,0.58878,0.43597,0.84737,0.95212,1.19789,0.00102301,0.00102301,0.00102301
6,1130.26,1.19177,1.35493,1.36949,0.89064,0.58595,0.61069,0.466,0.76655,0.77779,1.1188,0.00100101,0.00100101,0.00100101
7,1293.08,1.18034,1.31181,1.37018,0.57104,0.59339,0.6139,0.46492,0.81609,0.79978,1.156,0.000979013,0.000979013,0.000979013
8,1494.2,1.1176,1.22132,1.32873,0.59171,0.59035,0.62134,0.48513,0.72604,0.67974,1.10157,0.000957015,0.000957015,0.000957015
9,1702.78,1.11554,1.21163,1.32897,0.54944,0.59469,0.61056,0.47543,0.69905,0.71982,1.07844,0.000935018,0.000935018,0.000935018
10,1916.48,1.0876,1.16015,1.29619,0.57385,0.61798,0.62744,0.50009,0.65248,0.68383,1.04246,0.00091302,0.00091302,0.00091302
11,2159.68,1.05792,1.12295,1.28118,0.60012,0.60829,0.63003,0.50607,0.65091,0.65732,1.04558,0.000891022,0.000891022,0.000891022
12,2382.65,1.03319,1.09585,1.2764,0.6094,0.60985,0.63611,0.50396,0.66554,0.63316,1.03457,0.000869024,0.000869024,0.000869024
13,2654.9,1.02451,1.09301,1.2803,0.61268,0.60599,0.63895,0.5156,0.64613,0.58262,1.03676,0.000847026,0.000847026,0.000847026
14,2928.68,1.01722,1.06152,1.26065,0.59995,0.62785,0.63611,0.50799,0.64428,0.59285,1.01492,0.000825029,0.000825029,0.000825029
15,3211.61,0.98899,1.02906,1.24326,0.61553,0.61588,0.63625,0.51265,0.63119,0.57362,1.03031,0.000803031,0.000803031,0.000803031
16,3503.07,0.98592,1.01918,1.24526,0.60292,0.60695,0.63898,0.52824,0.60501,0.5545,1.02099,0.000781033,0.000781033,0.000781033
17,3670.05,0.95344,0.98494,1.22626,0.59791,0.63078,0.64015,0.53135,0.57317,0.52216,0.98179,0.000759035,0.000759035,0.000759035
