epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.728,1.99842,3.2565,1.88079,0.17252,0.27627,0.10741,0.04232,1.99516,3.40242,1.90833,0.000554768,0.000554768,0.000554768
2,382.524,2.08262,2.74297,1.96294,0.44211,0.3397,0.31434,0.12419,2.07472,2.31743,1.99068,0.00108845,0.00108845,0.00108845
3,568.723,2.03483,2.54857,1.94522,0.30985,0.32143,0.22028,0.08915,2.1101,2.92789,2.07718,0.00160012,0.00160012,0.00160012
4,754.316,1.97146,2.42727,1.8857,0.48238,0.45341,0.41432,0.18835,1.86478,2.21836,1.85751,0.00156798,0.00156798,0.00156798
5,942.869,1.88983,2.26344,1.81084,0.60863,0.43452,0.48806,0.21148,1.88884,1.91554,1.80672,0.00153497,0.00153497,0.00153497
6,1133.24,1.83147,2.13007,1.76787,0.68625,0.57441,0.64416,0.31272,1.72554,1.64301,1.71366,0.00150197,0.00150197,0.00150197
7,1318.11,1.78981,2.05743,1.72493,0.66472,0.59178,0.6594,0.3086,1.72936,1.61092,1.71055,0.00146896,0.00146896,0.00146896
8,1502.63,1.72346,1.93677,1.67792,0.76084,0.5339,0.65929,0.31567,1.71533,1.70698,1.71447,0.00143595,0.00143595,0.00143595
9,1687.58,1.70295,1.88792,1.66296,0.71256,0.58442,0.65325,0.31279,1.72955,1.55491,1.71672,0.00140295,0.00140295,0.00140295
10,1872.61,1.70451,1.82639,1.65642,0.73196,0.62522,0.67762,0.32504,1.72486,1.54996,1.75904,0.00136994,0.00136994,0.00136994
11,2058.23,1.6696,1.76724,1.62593,0.72671,0.67784,0.7388,0.34286,1.74413,1.39221,1.70067,0.00133693,0.00133693,0.00133693
12,2248.89,1.64405,1.728,1.59388,0.76036,0.68528,0.75318,0.38443,1.66224,1.34654,1.62426,0.00130393,0.00130393,0.00130393
13,2439.73,1.61679,1.64929,1.574,0.757,0.65724,0.73574,0.36893,1.66921,1.37397,1.668,0.00127092,0.00127092,0.00127092
14,2628.42,1.58424,1.62273,1.56076,0.78303,0.70256,0.78685,0.39493,1.64239,1.29237,1.62178,0.00123791,0.00123791,0.00123791
15,2821.25,1.58018,1.58665,1.56237,0.72331,0.70012,0.7628,0.36902,1.67297,1.34146,1.64629,0.00120491,0.00120491,0.00120491
16,3016.96,1.55354,1.55272,1.53419,0.80808,0.68975,0.77641,0.40261,1.60713,1.2808,1.5948,0.0011719,0.0011719,0.0011719
17,3202.99,1.56349,1.53948,1.53393,0.77896,0.74422,0.79717,0.42336,1.56669,1.15095,1.57059,0.00113889,0.00113889,0.00113889
18,3390.91,1.53018,1.49863,1.51291,0.85035,0.72092,0.81021,0.4319,1.53991,1.18124,1.52975,0.00110589,0.00110589,0.00110589
19,3586.67,1.52627,1.46507,1.50867,0.83562,0.69851,0.80892,0.425,1.63946,1.17491,1.59707,0.00107288,0.00107288,0.00107288
20,3781.91,1.49314,1.44757,1.48754,0.87757,0.72741,0.84048,0.45636,1.52389,1.12236,1.53342,0.00103987,0.00103987,0.00103987
21,3976.48,1.48962,1.42757,1.47963,0.83942,0.71649,0.81619,0.43422,1.56786,1.11206,1.54836,0.00100687,0.00100687,0.00100687
22,4171.33,1.49539,1.41448,1.49003,0.77674,0.76172,0.80907,0.41391,1.59637,1.12897,1.6099,0.000973861,0.000973861,0.000973861
23,4365.14,1.44438,1.36124,1.45163,0.86856,0.73005,0.83556,0.43105,1.58751,1.1216,1.5761,0.000940855,0.000940855,0.000940855
24,4560.07,1.4483,1.35164,1.45269,0.82774,0.77233,0.83413,0.46159,1.52027,1.04327,1.52638,0.000907848,0.000907848,0.000907848
25,4749.65,1.43886,1.32412,1.4428,0.83752,0.78531,0.84913,0.47488,1.51515,1.0665,1.50345,0.000874842,0.000874842,0.000874842
26,4948.88,1.4316,1.30382,1.44144,0.88204,0.74659,0.85833,0.45931,1.56476,1.044,1.54559,0.000841835,0.000841835,0.000841835
27,5156.56,1.41314,1.29486,1.42751,0.85797,0.78305,0.85209,0.4846,1.48433,1.01472,1.49321,0.000808828,0.000808828,0.000808828
28,5364.06,1.40356,1.2756,1.41007,0.87178,0.78144,0.87315,0.48585,1.49967,0.96796,1.51083,0.000775822,0.000775822,0.000775822
29,5548.05,1.39319,1.26215,1.40561,0.86332,0.7879,0.85572,0.48895,1.47416,1.01641,1.47753,0.000742815,0.000742815,0.000742815
30,5731.29,1.39202,1.24568,1.41187,0.88959,0.78386,0.8891,0.49937,1.47931,0.94131,1.47824,0.000709809,0.000709809,0.000709809
31,5914.32,1.37394,1.20866,1.40037,0.86129,0.78867,0.85728,0.50117,1.45687,0.99495,1.4679,0.000676802,0.000676802,0.000676802
32,6097.15,1.35828,1.19202,1.38009,0.88114,0.80039,0.88286,0.5058,1.44674,0.94677,1.45396,0.000643795,0.000643795,0.000643795
33,6280.26,1.35489,1.18343,1.38299,0.87575,0.81042,0.88145,0.50028,1.49129,0.91745,1.48796,0.000610789,0.000610789,0.000610789
34,6470.31,1.3325,1.14532,1.36064,0.87204,0.78724,0.87897,0.51118,1.44298,0.92817,1.44855,0.000577782,0.000577782,0.000577782
35,6672.08,1.33982,1.15346,1.36843,0.87117,0.81699,0.88297,0.50667,1.44507,0.90072,1.44456,0.000544776,0.000544776,0.000544776
36,6864.86,1.32416,1.1323,1.35294,0.90523,0.79189,0.88023,0.50728,1.46027,0.92576,1.46889,0.000511769,0.000511769,0.000511769
37,7059.54,1.31166,1.12097,1.34796,0.88184,0.8136,0.88562,0.52917,1.41872,0.88546,1.44407,0.000478762,0.000478762,0.000478762
38,7244.47,1.30173,1.09071,1.3427,0.8635,0.79161,0.87883,0.52793,1.42293,0.89737,1.43275,0.000445756,0.000445756,0.000445756
39,7447.66,1.2895,1.08695,1.33156,0.90178,0.83191,0.89724,0.52362,1.42314,0.85173,1.41936,0.000412749,0.000412749,0.000412749
40,7632.72,1.27035,1.06783,1.32525,0.90986,0.80203,0.89405,0.53433,1.40149,0.86924,1.4085,0.000379743,0.000379743,0.000379743
