epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.812,1.03827,1.74748,1.36485,0.87635,0.82054,0.9038,0.67069,0.88314,1.22697,1.2428,0.000553675,0.000553675,0.000553675
2,345.141,1.1093,1.43076,1.3831,0.79659,0.82047,0.84611,0.58123,1.04408,1.28462,1.3908,0.00108738,0.00108738,0.00108738
3,528.349,1.12064,1.29126,1.38855,0.57561,0.73881,0.83168,0.58962,0.98017,1.32294,1.33474,0.00159907,0.00159907,0.00159907
4,686.32,1.10172,1.23992,1.37116,0.8679,0.86991,0.9347,0.68548,0.90453,0.98996,1.25585,0.00156798,0.00156798,0.00156798
5,869.906,1.05323,1.16203,1.34863,0.83089,0.85542,0.94295,0.71563,0.89606,0.84086,1.2284,0.00153497,0.00153497,0.00153497
6,1030.52,1.0382,1.09666,1.33722,0.8405,0.82044,0.92101,0.68791,0.87134,0.92452,1.24059,0.00150197,0.00150197,0.00150197
7,1216.34,1.01253,1.08765,1.31035,0.87709,0.9007,0.96056,0.77169,0.73969,0.69473,1.13293,0.00146896,0.00146896,0.00146896
8,1371.69,0.97316,1.00653,1.28764,0.85601,0.89737,0.95165,0.74838,0.75482,0.69028,1.13657,0.00143595,0.00143595,0.00143595
9,1548.33,0.95846,1.01893,1.28167,0.86405,0.88587,0.95605,0.74509,0.78498,0.70727,1.13566,0.00140295,0.00140295,0.00140295
10,1702.05,0.95495,0.9784,1.28198,0.91633,0.87494,0.94625,0.74932,0.74973,0.69503,1.13329,0.00136994,0.00136994,0.00136994
11,1878.07,0.93564,0.9258,1.26958,0.91779,0.91308,0.96577,0.76583,0.75346,0.62008,1.14037,0.00133693,0.00133693,0.00133693
12,2031.16,0.92155,0.92379,1.25211,0.91242,0.92738,0.97722,0.78704,0.69345,0.5676,1.08938,0.00130393,0.00130393,0.00130393
13,2207.23,0.89859,0.8819,1.23838,0.92888,0.93047,0.96932,0.78671,0.69826,0.58275,1.07627,0.00127092,0.00127092,0.00127092
14,2360.31,0.9047,0.88336,1.2437,0.872,0.88033,0.95032,0.7744,0.69159,0.68816,1.08951,0.00123791,0.00123791,0.00123791
