epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.333,1.72763,2.90691,1.62403,0.66279,0.41109,0.49043,0.24952,1.51624,2.11182,1.67191,0.000301926,0.000301926,0.000301926
2,361.561,1.6855,2.33642,1.59281,0.48047,0.46216,0.49569,0.24769,1.59377,1.81852,1.69033,0.000592948,0.000592948,0.000592948
3,528.152,1.66429,2.18601,1.59446,0.67636,0.50985,0.5361,0.25026,1.58806,1.88934,1.756,0.000871972,0.000871972,0.000871972
4,705.311,1.65179,2.07864,1.59344,0.58741,0.5768,0.58503,0.29494,1.56451,1.75751,1.72813,0.000855005,0.000855005,0.000855005
5,885.469,1.62766,2.01413,1.5792,0.51194,0.61311,0.56587,0.28683,1.5261,1.67355,1.67644,0.000837007,0.000837007,0.000837007
6,1052.21,1.61955,1.91097,1.58132,0.63603,0.60443,0.63177,0.32067,1.48299,1.51925,1.64729,0.000819009,0.000819009,0.000819009
7,1223.7,1.59059,1.85552,1.54656,0.59224,0.62241,0.60246,0.31206,1.44953,1.57975,1.59631,0.000801011,0.000801011,0.000801011
8,1384.46,1.55966,1.76828,1.53758,0.5846,0.66201,0.67225,0.34378,1.44709,1.50669,1.57344,0.000783013,0.000783013,0.000783013
9,1555.53,1.53232,1.7272,1.51043,0.65128,0.67602,0.66308,0.33724,1.3875,1.47686,1.55672,0.000765014,0.000765014,0.000765014
10,1726.78,1.51472,1.6668,1.50729,0.70307,0.65745,0.69742,0.36758,1.38877,1.40198,1.56722,0.000747016,0.000747016,0.000747016
11,1887.99,1.5224,1.6964,1.5051,0.55324,0.70396,0.64252,0.33327,1.45006,1.46897,1.58535,0.000729018,0.000729018,0.000729018
12,2059.88,1.49932,1.61437,1.48758,0.67558,0.52206,0.59889,0.31117,1.40581,1.57123,1.52957,0.00071102,0.00071102,0.00071102
13,2230.24,1.48005,1.60003,1.47867,0.60294,0.72913,0.68771,0.36152,1.39614,1.35861,1.53477,0.000693022,0.000693022,0.000693022
14,2392.97,1.4693,1.59642,1.48922,0.6526,0.73704,0.70045,0.36363,1.4065,1.29558,1.56584,0.000675023,0.000675023,0.000675023
15,2564.23,1.46615,1.55049,1.47149,0.61349,0.72476,0.70065,0.36282,1.39725,1.33241,1.54311,0.000657025,0.000657025,0.000657025
16,2725.31,1.43486,1.52096,1.45548,0.58291,0.7019,0.70379,0.38595,1.35408,1.32753,1.51091,0.000639027,0.000639027,0.000639027
17,2896.67,1.44737,1.52097,1.45663,0.6045,0.70805,0.70593,0.37046,1.35752,1.31918,1.50042,0.000621029,0.000621029,0.000621029
18,3067.87,1.42544,1.47697,1.44452,0.55155,0.73105,0.67426,0.36025,1.35727,1.36518,1.53469,0.000603031,0.000603031,0.000603031
19,3229.24,1.41019,1.47829,1.43911,0.61445,0.7227,0.70193,0.38544,1.36395,1.27553,1.49755,0.000585032,0.000585032,0.000585032
20,3400.79,1.40341,1.46898,1.42687,0.65276,0.66105,0.72037,0.39187,1.31734,1.28386,1.45968,0.000567034,0.000567034,0.000567034
21,3638.56,1.40793,1.44948,1.42396,0.617,0.75201,0.74049,0.41434,1.29978,1.22666,1.4336,0.000549036,0.000549036,0.000549036
22,3887.3,1.40322,1.46027,1.42591,0.58936,0.72365,0.69294,0.38958,1.2742,1.2603,1.44729,0.000531038,0.000531038,0.000531038
23,4245.01,1.38087,1.43481,1.41344,0.6099,0.75754,0.74167,0.4121,1.3085,1.2285,1.49525,0.00051304,0.00051304,0.00051304
24,4643.34,1.36539,1.4019,1.40634,0.64244,0.70696,0.68879,0.39143,1.29202,1.23843,1.44973,0.000495041,0.000495041,0.000495041
25,5029.94,1.36597,1.39745,1.40588,0.61634,0.76913,0.73161,0.4131,1.26897,1.18673,1.43492,0.000477043,0.000477043,0.000477043
26,5439.39,1.38162,1.40658,1.41078,0.60402,0.78717,0.73109,0.40798,1.27499,1.18745,1.43114,0.000459045,0.000459045,0.000459045
27,5860.54,1.35597,1.38198,1.40087,0.62618,0.76054,0.74951,0.42673,1.27246,1.21525,1.42616,0.000441047,0.000441047,0.000441047
28,6304.15,1.3507,1.36502,1.39237,0.61547,0.7934,0.74829,0.42298,1.29384,1.19873,1.42375,0.000423049,0.000423049,0.000423049
29,6734.31,1.35199,1.37725,1.39125,0.63797,0.81432,0.75199,0.42362,1.28418,1.15134,1.44168,0.00040505,0.00040505,0.00040505
30,7172.86,1.34461,1.36891,1.39257,0.65527,0.77959,0.75982,0.42782,1.26731,1.13926,1.42453,0.000387052,0.000387052,0.000387052
31,7599.66,1.3395,1.37556,1.38444,0.6282,0.78605,0.74987,0.42295,1.25925,1.18309,1.42906,0.000369054,0.000369054,0.000369054
32,8011.14,1.3292,1.33475,1.37695,0.60777,0.83224,0.75237,0.42352,1.24464,1.17167,1.3921,0.000351056,0.000351056,0.000351056
33,8428.54,1.31119,1.31415,1.36589,0.65691,0.81853,0.75975,0.42348,1.23868,1.12508,1.40955,0.000333058,0.000333058,0.000333058
34,8866.26,1.30236,1.31789,1.35964,0.6062,0.82131,0.75084,0.4271,1.24327,1.14224,1.40263,0.000315059,0.000315059,0.000315059
35,9309.02,1.31184,1.30912,1.36539,0.62857,0.80192,0.75094,0.42377,1.25505,1.13454,1.41117,0.000297061,0.000297061,0.000297061
36,9487.4,1.28807,1.29796,1.3535,0.62755,0.80659,0.77801,0.4499,1.22517,1.12435,1.38156,0.000279063,0.000279063,0.000279063
37,9654.2,1.28922,1.28679,1.34948,0.62171,0.81763,0.77092,0.43871,1.22896,1.12709,1.39503,0.000261065,0.000261065,0.000261065
38,9831.28,1.28491,1.28574,1.34165,0.62581,0.83755,0.77326,0.4456,1.21659,1.1508,1.37921,0.000243067,0.000243067,0.000243067
39,9997.56,1.2729,1.27577,1.34227,0.65529,0.81956,0.79456,0.45741,1.22731,1.10927,1.40356,0.000225068,0.000225068,0.000225068
40,10174.2,1.27921,1.28788,1.34192,0.64027,0.81146,0.78506,0.45706,1.22469,1.12902,1.39103,0.00020707,0.00020707,0.00020707
41,10363.5,1.12457,1.06918,1.29319,0.61456,0.82084,0.77535,0.44871,1.20193,1.14618,1.38011,0.000189072,0.000189072,0.000189072
42,10528.4,1.11848,1.04489,1.28232,0.63186,0.79403,0.78754,0.45355,1.19001,1.09861,1.36702,0.000171074,0.000171074,0.000171074
43,10704.8,1.09688,1.03103,1.2724,0.64105,0.78215,0.75961,0.43795,1.20617,1.12549,1.38186,0.000153076,0.000153076,0.000153076
44,10869.3,1.0921,1.03106,1.26433,0.65236,0.78085,0.77832,0.44835,1.18454,1.09661,1.36065,0.000135077,0.000135077,0.000135077
45,11047.5,1.07547,1.01258,1.26323,0.63039,0.82305,0.78503,0.45363,1.18498,1.13137,1.35407,0.000117079,0.000117079,0.000117079
46,11223.9,1.06833,1.00476,1.255,0.65573,0.81529,0.79246,0.46813,1.17046,1.09111,1.35836,9.9081e-05,9.9081e-05,9.9081e-05
47,11388.8,1.04931,0.99835,1.24338,0.65825,0.81754,0.7981,0.46754,1.1667,1.0799,1.35171,8.10828e-05,8.10828e-05,8.10828e-05
48,11563.9,1.03826,0.99704,1.23757,0.64171,0.8233,0.79555,0.46556,1.16696,1.10227,1.34926,6.30846e-05,6.30846e-05,6.30846e-05
49,11738.4,1.03188,0.98158,1.22647,0.65196,0.8165,0.79975,0.47095,1.15573,1.102,1.34759,4.50864e-05,4.50864e-05,4.50864e-05
50,11904.9,1.02816,0.96914,1.22878,0.62911,0.82554,0.79632,0.46701,1.14838,1.09181,1.33949,2.70882e-05,2.70882e-05,2.70882e-05
