epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.743,1.81018,2.92339,1.66157,0.6863,0.46415,0.50701,0.24228,1.64351,2.12649,1.75859,0.000301926,0.000301926,0.000301926
2,345.335,1.7176,2.28783,1.60603,0.47354,0.52596,0.50238,0.24845,1.63068,1.98932,1.73098,0.000604791,0.000604791,0.000604791
3,519.813,1.69873,2.20394,1.60455,0.49204,0.6064,0.54992,0.26945,1.60965,2.05745,1.73186,0.000907119,0.000907119,0.000907119
4,692.448,1.69017,2.09526,1.6054,0.46165,0.55225,0.49736,0.24748,1.53317,1.97916,1.69661,0.000907185,0.000907185,0.000907185
5,859.708,1.6773,2.01601,1.60383,0.72694,0.53129,0.62554,0.32326,1.50426,1.73364,1.66318,0.000905775,0.000905775,0.000905775
6,1033.59,1.61874,1.90456,1.5633,0.53784,0.58725,0.61052,0.32263,1.45705,1.58311,1.56981,0.000903964,0.000903964,0.000903964
7,1198.2,1.59728,1.85188,1.53827,0.5003,0.64588,0.60164,0.30128,1.45896,1.67102,1.56764,0.000901755,0.000901755,0.000901755
8,1372.07,1.56753,1.78281,1.51805,0.48967,0.62947,0.57348,0.28873,1.48355,1.67161,1.60443,0.000899149,0.000899149,0.000899149
9,1546.62,1.57117,1.74558,1.51775,0.52811,0.65615,0.60294,0.3102,1.43512,1.5129,1.53802,0.000896149,0.000896149,0.000896149
10,1710.35,1.56951,1.73011,1.52184,0.54093,0.65738,0.66067,0.33607,1.46406,1.47182,1.59796,0.000892758,0.000892758,0.000892758
11,1884.12,1.57079,1.6992,1.52505,0.56329,0.59342,0.63558,0.31621,1.48229,1.59384,1.59131,0.00088898,0.00088898,0.00088898
12,2049.51,1.55554,1.7053,1.50429,0.62474,0.63736,0.63267,0.32741,1.43077,1.45368,1.56099,0.000884817,0.000884817,0.000884817
13,2239.75,1.54771,1.64341,1.48739,0.59873,0.68563,0.67457,0.34469,1.44334,1.43856,1.56912,0.000880275,0.000880275,0.000880275
14,2425.84,1.53129,1.62509,1.48079,0.5168,0.70113,0.68392,0.36653,1.3708,1.4071,1.4973,0.000875358,0.000875358,0.000875358
15,2606.29,1.52337,1.62549,1.49782,0.56581,0.66807,0.66884,0.35276,1.44177,1.47597,1.55857,0.00087007,0.00087007,0.00087007
16,2811.11,1.49943,1.58393,1.47186,0.67307,0.64567,0.70927,0.37879,1.41749,1.36636,1.52426,0.000864416,0.000864416,0.000864416
17,3020.76,1.50234,1.59204,1.47936,0.54863,0.71178,0.66427,0.35037,1.41108,1.46466,1.54045,0.000858403,0.000858403,0.000858403
18,3197.74,1.48223,1.56247,1.45563,0.61532,0.74503,0.72059,0.38291,1.3703,1.3599,1.47919,0.000852037,0.000852037,0.000852037
19,3384.44,1.50502,1.56828,1.47033,0.60579,0.66687,0.68902,0.37206,1.37656,1.39043,1.49626,0.000845322,0.000845322,0.000845322
20,3560.35,1.47785,1.52811,1.45547,0.59619,0.70283,0.66743,0.35738,1.43951,1.39369,1.53409,0.000838267,0.000838267,0.000838267
21,3754.64,1.48838,1.54129,1.46709,0.56115,0.71977,0.68766,0.37216,1.38434,1.28899,1.48339,0.000830878,0.000830878,0.000830878
22,3953.34,1.47785,1.53243,1.44734,0.60237,0.68921,0.70097,0.38447,1.35005,1.30809,1.48556,0.000823163,0.000823163,0.000823163
23,4139.48,1.47021,1.5084,1.45103,0.63244,0.73357,0.71948,0.39466,1.33197,1.26882,1.47869,0.000815128,0.000815128,0.000815128
24,4347.29,1.45045,1.49171,1.43633,0.65157,0.71289,0.70983,0.3836,1.36099,1.27017,1.47367,0.000806783,0.000806783,0.000806783
25,4559.92,1.44983,1.48247,1.43655,0.60504,0.6996,0.70127,0.37614,1.34271,1.28758,1.48797,0.000798135,0.000798135,0.000798135
26,4759.37,1.4442,1.46493,1.4281,0.63322,0.69342,0.69111,0.38032,1.34081,1.24907,1.46602,0.000789192,0.000789192,0.000789192
27,4973.01,1.43305,1.43999,1.41732,0.59042,0.70582,0.70189,0.38189,1.32876,1.27625,1.43176,0.000779964,0.000779964,0.000779964
