epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,348.607,0.79449,1.7142,1.04976,0.82383,0.86116,0.88063,0.72885,0.60833,0.92069,0.90909,0.000475461,0.000475461,0.000475461
2,693.141,0.65022,1.00221,0.96617,0.78632,0.82086,0.84826,0.72929,0.53588,0.82679,0.87475,0.000932949,0.000932949,0.000932949
3,1037.63,0.62494,0.84499,0.95577,0.89113,0.93017,0.92228,0.7997,0.51349,0.57388,0.86381,0.00137157,0.00137157,0.00137157
4,1378.8,0.58301,0.74652,0.94489,0.89855,0.93326,0.91647,0.81955,0.45216,0.52164,0.84247,0.00134412,0.00134412,0.00134412
5,1708.63,0.54186,0.67452,0.92695,0.89371,0.93485,0.92793,0.83565,0.43995,0.46978,0.82838,0.00131582,0.00131582,0.00131582
6,2037.71,0.53201,0.64613,0.92362,0.90731,0.9412,0.94234,0.85981,0.4132,0.42796,0.81702,0.00128753,0.00128753,0.00128753
7,2366.58,0.51097,0.61405,0.91406,0.9023,0.95423,0.92372,0.84637,0.39567,0.43253,0.81576,0.00125923,0.00125923,0.00125923
8,2695.65,0.4977,0.58582,0.90745,0.91037,0.94199,0.93922,0.86316,0.38403,0.40397,0.80887,0.00123094,0.00123094,0.00123094
9,3024.95,0.47814,0.56633,0.90197,0.91606,0.96053,0.93952,0.86855,0.37566,0.39257,0.80626,0.00120265,0.00120265,0.00120265
10,3353.95,0.46811,0.54037,0.89718,0.91485,0.95967,0.94127,0.87398,0.3684,0.39095,0.8024,0.00117435,0.00117435,0.00117435
11,3683.18,0.46027,0.53561,0.89567,0.91149,0.96311,0.93711,0.87008,0.36321,0.365,0.80078,0.00114606,0.00114606,0.00114606
12,4012.73,0.45083,0.52406,0.89428,0.91537,0.96024,0.93911,0.87541,0.352,0.37521,0.79974,0.00111776,0.00111776,0.00111776
13,4351.49,0.4489,0.50608,0.8925,0.91427,0.96638,0.93408,0.86358,0.36217,0.37276,0.79578,0.00108947,0.00108947,0.00108947
14,4809.93,0.43559,0.50263,0.88545,0.92494,0.97101,0.94581,0.88586,0.34527,0.35197,0.7937,0.00106118,0.00106118,0.00106118
15,5329.06,0.4345,0.50203,0.88997,0.91396,0.95356,0.94449,0.8825,0.34087,0.37004,0.7996,0.00103288,0.00103288,0.00103288
16,5894.73,0.43035,0.48324,0.88556,0.91535,0.95736,0.9456,0.88292,0.33839,0.36632,0.791,0.00100459,0.00100459,0.00100459
17,6478.61,0.42132,0.47535,0.88369,0.91603,0.96064,0.94214,0.88652,0.33166,0.34161,0.78952,0.000976293,0.000976293,0.000976293
18,7047.35,0.41468,0.46044,0.88247,0.91982,0.96869,0.94987,0.89552,0.33179,0.32916,0.79096,0.000947999,0.000947999,0.000947999
19,7644.74,0.41274,0.47074,0.87896,0.91176,0.96853,0.95031,0.89684,0.33143,0.33797,0.78471,0.000919704,0.000919704,0.000919704
20,8332.53,0.40946,0.46225,0.87721,0.91872,0.97457,0.95208,0.89864,0.32788,0.32508,0.78492,0.00089141,0.00089141,0.00089141
21,9047.45,0.40097,0.45321,0.87721,0.91482,0.97707,0.95337,0.90599,0.31072,0.31539,0.7835,0.000863116,0.000863116,0.000863116
22,9676.69,0.39683,0.44424,0.87557,0.91885,0.97103,0.94467,0.89741,0.30763,0.32159,0.78074,0.000834822,0.000834822,0.000834822
23,10004.2,0.39314,0.44233,0.87508,0.91999,0.97492,0.9501,0.89707,0.31432,0.30565,0.7816,0.000806528,0.000806528,0.000806528
24,10333.3,0.39112,0.43618,0.87077,0.92154,0.97356,0.94621,0.89573,0.30698,0.31301,0.78292,0.000778233,0.000778233,0.000778233
25,10660.8,0.39182,0.4346,0.87464,0.91951,0.97308,0.95029,0.90659,0.30033,0.30457,0.77859,0.000749939,0.000749939,0.000749939
26,10989,0.3813,0.42374,0.87132,0.92462,0.97595,0.95616,0.91161,0.2971,0.29592,0.77794,0.000721645,0.000721645,0.000721645
27,11285.7,0.38496,0.42573,0.86938,0.92258,0.97824,0.9537,0.90976,0.29198,0.29231,0.77478,0.000693351,0.000693351,0.000693351
28,11460,0.37369,0.41665,0.87121,0.91956,0.9736,0.95339,0.90725,0.29104,0.29697,0.77764,0.000665057,0.000665057,0.000665057
29,11634.3,0.37123,0.41426,0.87006,0.92414,0.96878,0.95464,0.90986,0.29056,0.28932,0.77666,0.000636762,0.000636762,0.000636762
30,11808.6,0.36736,0.40909,0.86799,0.92066,0.97816,0.95809,0.91758,0.28054,0.28036,0.77337,0.000608468,0.000608468,0.000608468
31,11982.9,0.3684,0.40704,0.86433,0.9072,0.96783,0.95478,0.90766,0.30463,0.30269,0.77782,0.000580174,0.000580174,0.000580174
32,12157.4,0.36505,0.41287,0.86466,0.91944,0.9766,0.95551,0.91507,0.278,0.27805,0.76908,0.00055188,0.00055188,0.00055188
33,12332,0.35896,0.40064,0.86483,0.92482,0.9788,0.95788,0.91956,0.27387,0.27336,0.76923,0.000523586,0.000523586,0.000523586
34,12507.1,0.35618,0.39411,0.86342,0.92171,0.97917,0.95542,0.91819,0.27343,0.27675,0.7686,0.000495291,0.000495291,0.000495291
35,12682.6,0.35117,0.39197,0.86046,0.92641,0.97665,0.95868,0.92123,0.27378,0.2726,0.76912,0.000466997,0.000466997,0.000466997
36,12860,0.3485,0.3897,0.86226,0.9259,0.98074,0.9606,0.92304,0.26966,0.26585,0.76678,0.000438703,0.000438703,0.000438703
