epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.187,1.71777,2.37676,2.06027,0.30552,0.31362,0.22854,0.07347,2.18912,2.43413,2.55747,0.000665825,0.000665825,0.000665825
2,918.862,1.76217,2.27089,2.09927,0.44102,0.41756,0.35788,0.12475,2.06644,2.22545,2.56993,0.00130611,0.00130611,0.00130611
3,1363.06,1.731,2.2179,2.07608,0.36027,0.3405,0.27083,0.08844,2.23042,2.51794,2.70743,0.00191999,0.00191999,0.00191999
4,1801.6,1.69974,2.17718,2.04158,0.43355,0.44624,0.39995,0.15764,1.98995,2.08824,2.41408,0.0018812,0.0018812,0.0018812
5,2235.93,1.65285,2.10159,2.00661,0.48011,0.38172,0.37165,0.15057,1.89553,2.2205,2.41146,0.0018416,0.0018416,0.0018416
6,2678.63,1.60702,2.0536,1.97074,0.53796,0.47133,0.45538,0.1691,1.89104,1.99574,2.34473,0.001802,0.001802,0.001802
7,3114.1,1.59332,1.98346,1.94718,0.51903,0.46953,0.49959,0.19983,1.91108,1.90797,2.25387,0.0017624,0.0017624,0.0017624
8,3609.53,1.57704,1.96824,1.93362,0.61721,0.50717,0.53327,0.22946,1.79999,1.82175,2.21757,0.0017228,0.0017228,0.0017228
9,4232.73,1.54705,1.90555,1.90649,0.59671,0.51075,0.53601,0.23314,1.77518,1.8049,2.14426,0.0016832,0.0016832,0.0016832
10,4993.52,1.53847,1.91098,1.90093,0.58271,0.54659,0.58414,0.25602,1.77364,1.82026,2.17847,0.0016436,0.0016436,0.0016436
11,5762.61,1.52672,1.87302,1.89041,0.66065,0.50937,0.5869,0.27043,1.76983,1.69699,2.16701,0.001604,0.001604,0.001604
12,6547.84,1.51646,1.82629,1.87338,0.63851,0.55914,0.60883,0.28265,1.70707,1.68802,2.07168,0.0015644,0.0015644,0.0015644
13,7337.15,1.49515,1.79721,1.86035,0.58212,0.47133,0.54426,0.26041,1.76986,1.77465,2.11283,0.0015248,0.0015248,0.0015248
14,8110.24,1.48399,1.76406,1.85062,0.59238,0.51254,0.57062,0.27748,1.68908,1.70636,2.04711,0.0014852,0.0014852,0.0014852
15,8892.36,1.47159,1.75112,1.83566,0.64071,0.57844,0.6505,0.30596,1.70004,1.59348,2.0762,0.0014456,0.0014456,0.0014456
16,9510.5,1.47541,1.7365,1.837,0.68636,0.59498,0.66923,0.34873,1.69667,1.50682,2.04025,0.001406,0.001406,0.001406
17,9965.56,1.46351,1.71752,1.82937,0.76688,0.56452,0.70186,0.37072,1.64809,1.44958,2.0179,0.0013664,0.0013664,0.0013664
18,10400.7,1.44361,1.69435,1.82048,0.72909,0.57394,0.6935,0.35377,1.61576,1.46635,1.97697,0.0013268,0.0013268,0.0013268
19,10849.7,1.4396,1.66638,1.81183,0.75162,0.64337,0.73064,0.38884,1.63014,1.37736,1.97245,0.0012872,0.0012872,0.0012872
20,11301,1.43754,1.6567,1.80375,0.73234,0.5914,0.69872,0.36919,1.59855,1.43991,1.96862,0.0012476,0.0012476,0.0012476
21,11745.3,1.44546,1.64623,1.80043,0.78528,0.60394,0.73947,0.38545,1.63812,1.39353,1.95844,0.001208,0.001208,0.001208
22,12082.1,1.41872,1.59821,1.78367,0.7256,0.63974,0.72863,0.38812,1.61707,1.37165,1.95278,0.0011684,0.0011684,0.0011684
23,12325.3,1.40319,1.60496,1.77516,0.80923,0.60753,0.73905,0.3901,1.61527,1.38056,1.95204,0.0011288,0.0011288,0.0011288
24,12563.1,1.40678,1.57028,1.77383,0.81365,0.65771,0.7822,0.41355,1.62066,1.25798,1.95644,0.0010892,0.0010892,0.0010892
25,12800.5,1.39162,1.55992,1.76311,0.74512,0.69355,0.77614,0.43457,1.54799,1.25955,1.90402,0.0010496,0.0010496,0.0010496
26,13038.7,1.40403,1.56933,1.76996,0.78333,0.65233,0.76713,0.41499,1.57066,1.29955,1.89634,0.00101,0.00101,0.00101
27,13408.3,1.39187,1.55626,1.75973,0.75589,0.67921,0.76276,0.42218,1.53631,1.25949,1.87693,0.0009704,0.0009704,0.0009704
28,13849,1.38221,1.53677,1.75325,0.81376,0.65771,0.78753,0.44451,1.53368,1.22219,1.86982,0.0009308,0.0009308,0.0009308
29,14296.5,1.36298,1.50562,1.73565,0.79662,0.67384,0.78663,0.42265,1.56161,1.24551,1.90606,0.0008912,0.0008912,0.0008912
30,14738,1.35749,1.48112,1.72716,0.8148,0.69176,0.81294,0.45291,1.50614,1.17839,1.85098,0.0008516,0.0008516,0.0008516
31,15183.8,1.3443,1.47102,1.72051,0.79561,0.71157,0.80901,0.4486,1.49689,1.18817,1.84892,0.000812,0.000812,0.000812
32,15668.1,1.34406,1.47035,1.72259,0.77065,0.69852,0.80362,0.44963,1.49546,1.19537,1.83866,0.0007724,0.0007724,0.0007724
33,16197.7,1.33943,1.456,1.71546,0.7981,0.7084,0.8125,0.45896,1.50425,1.15667,1.84924,0.0007328,0.0007328,0.0007328
34,16682.1,1.33935,1.4564,1.71402,0.84292,0.66667,0.8058,0.46169,1.48637,1.13473,1.85241,0.0006932,0.0006932,0.0006932
35,17197.3,1.32862,1.45157,1.71148,0.83062,0.68551,0.81058,0.46381,1.48899,1.1396,1.82876,0.0006536,0.0006536,0.0006536
36,17737.4,1.32373,1.4234,1.69602,0.8058,0.68817,0.80429,0.46427,1.49418,1.13985,1.80877,0.000614,0.000614,0.000614
37,18304.1,1.30333,1.39529,1.68782,0.80443,0.71864,0.82377,0.47543,1.44721,1.10582,1.79605,0.0005744,0.0005744,0.0005744
38,18851.5,1.30571,1.38759,1.68153,0.779,0.73477,0.82239,0.47177,1.47207,1.09635,1.81022,0.0005348,0.0005348,0.0005348
39,19550.1,1.30642,1.37836,1.68156,0.84096,0.70789,0.83,0.48548,1.43261,1.08566,1.77179,0.0004952,0.0004952,0.0004952
40,20287.2,1.29113,1.37812,1.67511,0.84845,0.71234,0.83561,0.48637,1.4704,1.06812,1.79923,0.0004556,0.0004556,0.0004556
41,20749,1.24294,0.99631,1.75826,0.86727,0.69892,0.83414,0.49011,1.43224,1.07584,1.75928,0.000416,0.000416,0.000416
42,21183.2,1.21348,0.94808,1.71926,0.8758,0.70251,0.8395,0.49371,1.42097,1.03095,1.75563,0.0003764,0.0003764,0.0003764
43,21622.3,1.20312,0.91652,1.70698,0.84602,0.74731,0.84733,0.50056,1.42681,1.01408,1.76004,0.0003368,0.0003368,0.0003368
